,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,Entry level education,Work Experience,Training on Job,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino,Employement change in 10 years,Education weight,Experience weight,Training weight,Prestige,popularity
30,11-9041,detailed,architectural and engineering managers,195900,158100,149530,Bachelor's degree,5 years or more,None,0.0,1.1695906432748535,11.11111111111111,26.31578947368421,25.14619883040936,29.82456140350877,5.847953216374269,49.1,9.5,84.2,3.4,9.5,4.7,4.1,3.0,3.0,1.0,1422900.0,1559456794736.842
31,11-9051,detailed,food service managers,197010,61000,56590,High school diploma or equivalent,Less than 5 years,None,2.93040293040293,10.164835164835164,24.816849816849818,22.985347985347985,19.963369963369964,13.27838827838828,5.86080586080586,40.2,46.6,77.7,9.8,9.4,19.8,14.9,2.0,2.0,1.0,244000.0,6788629033516.483
32,11-9071,detailed,gambling managers,3240,85440,75470,High school diploma or equivalent,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,20.1,2.0,2.0,1.0,341760.0,194407938228.96014
33,11-9081,detailed,lodging managers,31790,65270,56670,High school diploma or equivalent,Less than 5 years,None,0.0,3.252032520325203,18.69918699186992,19.51219512195122,21.951219512195124,24.390243902439025,11.382113821138212,48.0,56.0,74.8,12.4,10.4,11.2,8.7,2.0,2.0,1.0,261080.0,396261652170.73175
34,11-9111,detailed,medical and health services managers,402540,118800,104280,Bachelor's degree,Less than 5 years,None,0.140646976090014,1.6877637130801688,18.9873417721519,25.73839662447257,27.848101265822784,19.971870604782,5.625879043600563,45.9,70.3,77.6,13.3,5.6,11.5,32.5,3.0,2.0,1.0,712800.0,32351986936708.863
35,11-9121,detailed,natural sciences managers,75870,154930,137940,Bachelor's degree,5 years or more,None,0.0,0.0,25.0,6.25,37.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.0,3.0,1.0,1394370.0,1704408169500.0
36,11-9131,detailed,postmasters and mail superintendents,13880,79660,78060,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,0.0,0.0,8.333333333333334,8.333333333333334,37.5,33.333333333333336,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,-7.7,2.0,2.0,4.5,1433880.0,-70947851333.33333
37,11-9141,detailed,"property, real estate, and community association managers",219800,73210,59660,High school diploma or equivalent,Less than 5 years,None,0.1280409731113956,3.4571062740076823,17.285531370038413,20.230473751600517,19.718309859154928,21.638924455825865,17.41357234314981,49.6,48.5,84.7,8.6,3.5,12.9,3.1,2.0,2.0,1.0,292840.0,1041109379948.7837
38,11-9151,detailed,social and community service managers,155800,75140,69600,Bachelor's degree,Less than 5 years,None,0.0,3.30188679245283,20.047169811320757,24.056603773584907,25.23584905660377,16.27358490566038,11.320754716981131,46.6,72.5,75.9,18.3,2.1,10.3,15.2,3.0,2.0,1.0,450840.0,4154813843773.5854
39,11-9161,detailed,emergency management directors,10210,84310,76250,Bachelor's degree,5 years or more,None,0.0,0.0,8.333333333333334,25.0,33.333333333333336,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.0,3.0,1.0,758790.0,44474930166.666664
40,11-9171,detailed,funeral home managers,10010,91530,74200,Associate's degree,Less than 5 years,None,0.0,0.0,0.0,20.0,30.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.5,2.0,1.0,640710.0,0.0
41,11-9198,detailed,"personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",469160,123980,116350,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,7.4,3.0,2.0,1.0,743880.0,15038898093497.275
42,13-1000,minor,business operations specialists,5632020,78320,71450,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,9.3,1.0,1.0,1.0,78320.0,143328152496051.97
43,13-1011,detailed,"agents and business managers of artists, performers, and athletes",16240,98070,75420,Bachelor's degree,Less than 5 years,None,0.0,0.0,33.333333333333336,27.77777777777778,19.444444444444443,11.11111111111111,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,46.3,3.0,2.0,1.0,588420.0,2458000328000.0005
44,13-1020,detailed,buyers and purchasing agents,419920,72370,66690,Bachelor's degree,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,-5.4,3.0,1.0,4.5,976995.0,-5733642086700.32
45,13-1020,broad,buyers and purchasing agents,419920,72370,66690,Bachelor's degree,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,-5.4,3.0,1.0,4.5,976995.0,-5733642086700.32
46,13-1030,broad,"claims adjusters, appraisers, examiners, and investigators",300380,70560,68130,No formal educational credential,None,None,0.0,5.142857142857143,23.428571428571427,20.285714285714285,27.714285714285715,18.857142857142858,4.571428571428571,44.5,60.4,71.6,19.8,4.5,15.0,-2.6,1.0,1.0,1.0,70560.0,-1574471808000.0
47,13-1031,detailed,"claims adjusters, examiners, and investigators",287150,70650,68270,High school diploma or equivalent,None,Long-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,-2.7,2.0,1.0,6.5,918450.0,-1913799505720.1719
48,13-1032,detailed,"insurance appraisers, auto damage",13220,68540,65550,Postsecondary nondegree award,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,0.6,3.5,1.0,4.5,1079505.0,18994964784.955498
